MySQL [(none)]> select distinct asset_id,financial_plan_id,investment_id,asset_state,state,asset_type,asset_pool,create_time  from invest.t_investments where  asset_state = 8 and state = 2;
+------------------+-------------------+-------------------+-------------+-------+------------+------------+---------------------+
| asset_id         | financial_plan_id | investment_id     | asset_state | state | asset_type | asset_pool | create_time         |
+------------------+-------------------+-------------------+-------------+-------+------------+------------+---------------------+
| 3957750043171288 |  3353520701712401 | 20161108000007628 |           8 |     2 |          0 |          2 | 2016-11-08 04:44:40 |
| 3615672503222042 |  3353520701712401 | 20161108000007960 |           8 |     2 |          0 |          2 | 2016-11-08 04:44:41 |
| 3164764403222061 |  3167882551756401 | 20161108000008084 |           8 |     2 |          0 |          2 | 2016-11-08 04:44:41 |
| 3810905692996879 |  3167882551756401 | 20161108000008284 |           8 |     2 |          0 |          2 | 2016-11-08 04:44:42 |
| 3810905692996879 |  3167882551756401 | 20161108000017184 |           8 |     2 |          0 |          2 | 2016-11-08 04:44:40 |
| 3164764403222061 |  3167882551756401 | 20161108000020084 |           8 |     2 |          0 |          2 | 2016-11-08 04:44:46 |
| 3695582762996824 |  3402870012132001 | 20161109000024496 |           8 |     2 |          0 |          2 | 2016-11-09 19:25:29 |
| 3695582762996824 |  3119562572549601 | 20161109000024560 |           8 |     2 |          0 |          2 | 2016-11-09 19:25:30 |
| 3695582762996824 |  3402870012132001 | 20161109000028196 |           8 |     2 |          0 |          2 | 2016-11-09 19:26:00 |
| 3695582762996824 |  3119562572549601 | 20161109000029420 |           8 |     2 |          0 |          2 | 2016-11-09 19:26:11 |
| 3238264493171246 | 20161105000023403 | 20161109000029694 |           8 |     2 |          0 |          2 | 2016-11-09 19:26:13 |
| 3238264493171246 | 20161105000023403 | 20161109000029762 |           8 |     2 |          0 |          2 | 2016-11-09 19:26:13 |
| 3238264493171246 | 20161105000023403 | 20161109000029811 |           8 |     2 |          0 |          2 | 2016-11-09 19:26:14 |
| 3238264493171246 | 20161105000023403 | 20161109000029977 |           8 |     2 |          0 |          2 | 2016-11-09 19:26:15 |
